#Field 1: Hipparcos ID (-1 if none)
#Field 2: Tycho 2 ID (-1 if none)
#Field 3, 4, 5: x, y, z in 1/10 parsecs
#Nearest 1000 stars in TGAS+HYP(Hipparcos)
38082 -1 -62.376801 122.027699 50.868957
39826 -1 -88.190582 140.840989 64.133122
-1 1935-623-1 -85.559887 139.655145 80.878837
54646 -1 -101.044951 21.893937 60.768047
49699 -1 -132.277479 69.802710 101.804786
56829 -1 -144.006793 13.237201 131.729855
57050 -1 -80.497632 6.430425 74.652469
46769 -1 -87.382468 65.886551 80.443472
51525 -1 -101.621847 41.372786 111.744865
-1 3819-1043-1 -66.792071 27.524121 107.097585
51547 -1 -88.388464 35.837678 147.524709
39157 -1 -74.429116 128.226367 82.886443
36357 -1 -58.360328 142.593784 96.256078
35495 -1 -50.327148 139.161239 95.472641
33226 -1 -10.983278 45.053951 30.422844
35353 -1 -36.338714 102.430224 88.876416
35821 -1 -41.390468 108.896254 121.000948
36915 -1 -29.708282 67.229449 104.386539
32769 -1 -18.100602 81.715784 146.957509
120005 -1 -28.604279 25.225134 50.033676
55360 -1 -36.756828 6.487766 83.235394
-1 4136-543-1 -76.655303 56.090907 173.090793
47650 -1 -33.138168 22.599104 110.432539
47620 -1 -33.310174 22.776394 111.065323
54952 -1 -40.419090 8.007824 138.888197
36834 -1 -21.383473 48.922107 104.520151
42438 -1 -38.946628 46.747683 130.610369
43534 -1 -45.379125 48.659022 150.371813
-1 4375-2402-1 -30.517887 37.760516 120.572795
34392 -1 -21.165874 69.415948 172.648651
34115 -1 -16.620547 57.538049 150.414087
-1 4378-2162-1 -27.839887 28.994196 115.382190
-1 4378-2162-2 -26.032699 27.111876 107.886801
57544 -1 -10.229580 0.547148 51.235410
47981 -1 -31.737425 20.844789 152.743252
38784 -1 -14.043823 25.273218 168.544529
29277 -1 -0.581431 12.882381 92.946978
-1 4618-116-1 -4.402084 12.100993 124.117464
74190 -1 -98.948238 -107.589527 8.092506
73786 -1 -130.768739 -136.461995 18.651828
70475 -1 -104.152956 -76.327803 20.193716
72146 -1 -137.923366 -121.381065 45.282396
77801 -1 -90.947914 -147.255845 40.576747
75277 -1 -118.644834 -144.925359 64.196338
75187 -1 -68.465092 -82.968954 41.245508
70865 -1 -107.736351 -82.278862 37.691519
68570 -1 -168.139045 -99.366640 47.570949
72237 -1 -127.476659 -113.165300 50.469501
-1 2024-1358-1 -117.913926 -125.760642 80.159750
70218 -1 -102.458927 -73.043786 71.563793
71311 -1 -130.440374 -104.642000 111.727512
82003 -1 -26.346719 -77.731964 54.346959
84099 -1 -19.758070 -92.131108 74.796562
84790 -1 -15.932306 -90.091949 81.544151
87938 -1 -0.902871 -96.198620 101.699862
83389 -1 -30.813872 -120.469718 133.746288
78775 -1 -53.645890 -97.717097 90.776094
80093 -1 -49.953311 -108.206440 103.462956
79248 -1 -59.370456 -114.547379 123.795885
83006 -1 -32.660494 -117.174833 132.113869
83020 -1 -32.403871 -116.612833 131.472209
84616 -1 -20.743260 -111.488507 147.501662
79126 -1 -47.575289 -90.481307 135.384417
80459 -1 -15.188422 -34.691756 52.709526
82257 -1 -17.354124 -53.754635 94.214286
67422 -1 -113.693340 -58.592894 65.112354
69526 -1 -124.488554 -82.353145 86.935632
66906 -1 -68.689522 -33.028111 50.041017
66459 -1 -80.793477 -36.601118 63.776673
65016 -1 -133.272619 -48.285327 93.275116
65143 -1 -127.918157 -47.177053 92.927459
65011 -1 -103.192883 -37.338903 77.146711
65012 -1 -101.428039 -36.709368 75.820262
66625 -1 -83.832007 -38.824942 96.299270
-1 3472-1126-1 -99.970839 -66.967037 120.385946
69824 -1 -112.239004 -76.713188 138.075841
67691 -1 -80.787009 -42.960210 108.852828
62207 -1 -133.272674 -26.498907 111.136583
60303 -1 -117.843846 -11.297853 107.087481
-1 3462-2169-1 -112.984915 -35.041934 136.469379
59514 -1 -87.979978 -4.747241 123.459623
76315 -1 -57.365850 -78.480906 168.962727
71181 -1 -62.601447 -49.562100 105.612633
85235 -1 -7.496075 -48.672630 117.766347
86162 -1 -1.723612 -16.691284 42.239005
79755 -1 -18.094141 -37.384138 98.992073
79762 -1 -18.056371 -37.324137 98.908425
86141 -1 -6.194003 -59.500099 182.788976
71898 -1 -33.802914 -28.959125 100.236124
-1 4559-285-1 -33.971049 -27.796296 171.143885
104092 -1 107.850921 -102.947220 18.483692
105038 -1 120.756242 -104.469994 26.414905
109555 -1 98.472776 -50.441310 36.862841
-1 2187-512-1 110.218218 -90.770764 60.408254
98677 -1 94.424885 -159.399338 51.691664
98819 -1 85.011805 -141.347963 50.643712
98505 -1 92.025964 -158.229977 76.606248
98792 -1 73.963263 -123.277553 62.024048
112909 -1 122.900132 -37.631510 79.550720
109812 -1 150.686256 -74.703338 88.890538
107346 -1 123.494363 -82.908140 132.049635
115562 -1 69.392621 -10.833516 111.758129
116085 -1 85.809007 -10.761801 144.878015
98767 -1 71.414881 -119.282393 79.926408
97292 -1 53.345213 -106.518726 74.485286
97241 -1 51.817429 -104.115149 73.770073
95319 -1 46.719057 -122.395562 85.803784
98921 -1 76.989098 -126.664118 117.815830
102401 -1 56.684578 -64.591751 84.451024
91699 -1 16.669055 -89.986296 56.810565
89560 -1 8.811011 -122.040368 124.770297
-1 3529-1437-1 10.042067 -131.880257 148.800306
91009 -1 15.086372 -101.142910 129.568622
91772 -1 3.272447 -17.345728 30.128331
91768 -1 3.304967 -17.518207 30.431845
103859 -1 96.241828 -94.009539 138.760737
-1 3953-480-1 77.291762 -65.469778 140.509827
98906 -1 50.386149 -83.031061 135.812797
103096 -1 22.549214 -23.901504 62.195119
-1 3980-1081-1 35.881457 -22.500528 71.314370
95995 -1 34.587970 -82.365472 146.261202
101180 -1 20.441114 -26.506974 73.283323
96100 -1 7.857682 -18.424643 54.015277
115147 -1 35.614199 -6.366023 186.189512
112527 -1 20.259697 -6.630867 193.012163
1734 -1 154.020166 14.786583 -94.472027
1936 -1 158.471010 16.966912 -81.299093
116763 -1 153.404888 -13.517136 -99.035425
3850 -1 178.273559 39.078103 -78.267359
4022 -1 138.369897 31.677019 -59.994574
114411 -1 131.807545 -29.054739 -65.629677
113605 -1 175.538420 -46.532186 -80.744227
113602 -1 175.927886 -46.679138 -80.864542
116003 -1 149.850553 -19.575529 -56.177844
116215 -1 138.167738 -16.457624 -42.133589
-1 6403-440-1 121.698632 -11.648002 -35.602751
113576 -1 73.135423 -19.510267 -31.390411
111802 -1 77.899625 -28.828476 -31.256782
115445 -1 185.119127 -30.074557 -35.651383
117966 -1 175.290915 -3.323672 -18.873298
8691 -1 149.920002 79.563822 -32.394233
10279 -1 88.228545 57.471786 6.565449
-1 18-777-1 170.905971 43.993766 18.099381
8051 -1 100.640037 48.721339 8.443519
6069 -1 170.378233 60.241229 17.309436
113020 -1 43.376185 -12.993812 -11.513691
109388 -1 78.017001 -40.746718 -7.144789
113718 -1 158.513379 -41.093487 -11.018918
116317 -1 136.681573 -15.549325 0.421372
113421 -1 192.688187 -53.202822 -8.362302
111571 -1 149.440539 -57.243381 -2.358122
114233 -1 160.670921 -37.002015 9.593532
108782 -1 92.400347 -52.190505 2.591818
111313 -1 118.723579 -47.338166 21.110200
109638 -1 140.965487 -71.360590 23.755257
117473 -1 59.023395 -2.776940 2.473644
4927 -1 143.857853 40.740104 54.709131
113296 -1 63.166650 -17.945205 19.516382
-1 1702-1340-1 152.277035 -43.666277 50.893535
544 -1 120.374369 3.478169 66.809511
117779 -1 175.471957 -5.252566 97.381957
117197 -1 158.219071 -9.793392 116.255376
27359 -1 6.254518 116.353171 -85.684375
-1 6514-1723-1 -17.830963 169.121094 -86.572153
25421 -1 21.994752 148.278749 -95.516448
28035 -1 2.335314 125.214612 -63.416655
29052 -1 -3.468342 102.851922 -49.628573
29568 -1 -9.195245 153.035891 -67.815183
-1 6530-2919-1 -35.998000 155.045813 -78.967205
33817 -1 -36.777526 134.360733 -67.788014
-1 6524-3591-1 -44.903192 146.621474 -64.503963
34361 -1 -47.437647 156.662645 -64.341077
29295 -1 -2.479145 53.692949 -21.572150
-1 5383-675-1 -35.219748 164.896844 -31.034464
-1 5913-452-1 42.207539 178.664604 -72.633303
23932 -1 19.776519 86.684039 -29.194551
23512 -1 21.643111 85.738404 -27.669920
22762 -1 32.391469 109.072347 -36.478559
-1 5899-26-1 43.889379 144.477441 -45.656569
27803 -1 6.097111 199.694929 -20.985483
27435 -1 7.568975 151.817594 -10.884204
33955 -1 -51.435036 183.256320 -22.698192
-1 4835-774-1 -59.298433 127.094286 -8.835570
37349 -1 -59.349724 127.290423 -8.832868
36985 -1 -58.191115 130.516751 -7.769243
38931 -1 -87.739047 155.140699 -2.533492
40501 -1 -49.949483 73.964883 2.029794
37288 -1 -63.259835 136.622527 5.738150
21086 -1 68.964554 168.882564 -43.847629
21556 -1 38.559742 102.714306 -21.405069
25878 -1 6.998159 55.924563 -3.630803
25623 -1 17.753416 128.064212 -7.914167
24819 -1 28.055831 156.016378 -8.510830
26081 -1 18.005513 156.470977 5.348118
-1 106-1207-1 47.064895 181.480077 12.336924
18280 -1 81.243021 133.347213 -18.685247
17695 -1 92.228238 141.197595 -5.810846
18512 -1 77.738931 131.286165 -3.089604
17743 -1 95.449606 146.925769 8.526332
22627 -1 35.944542 117.749563 13.973218
25953 -1 15.311785 125.798985 21.934978
26335 -1 11.441908 111.274036 22.408095
31635 -1 -15.471898 94.567620 30.335290
30630 -1 -15.760158 137.426254 46.972521
25716 -1 22.268224 166.057056 46.705722
25220 -1 22.018457 137.635172 43.477983
24284 -1 23.317174 111.391369 40.673625
21932 -1 29.352693 83.983919 30.552598
21818 -1 41.740793 116.754176 47.348781
56452 -1 -79.850131 8.929058 -51.836052
56528 -1 -76.496527 8.226531 -49.096840
57507 -1 -153.172255 8.524556 -89.600113
58345 -1 -90.511528 0.822891 -47.540994
62472 -1 -166.124935 -35.441754 -78.509173
62471 -1 -166.341466 -35.478805 -78.603742
59406 -1 -119.885009 -5.859275 -43.594971
55119 -1 -153.964979 29.141407 -82.666185
54532 -1 -95.524352 21.392575 -44.818801
56466 -1 -169.219415 18.815382 -75.350692
57361 -1 -187.490405 11.814849 -69.690658
52621 -1 -170.316983 57.302665 -62.285352
55066 -1 -173.981183 33.530182 -46.462792
54651 -1 -190.224675 41.160743 -37.649826
57459 -1 -190.988229 11.072990 -47.761318
68469 -1 -89.895001 -52.445909 -4.821369
-1 4966-1321-1 -177.158428 -78.333359 -1.312903
62687 -1 -104.138370 -23.433082 -1.434197
65355 -1 -154.970070 -59.239963 7.899754
65352 -1 -156.347078 -59.744395 7.963848
66147 -1 -164.664016 -71.198034 27.090151
62452 -1 -77.677828 -16.484965 13.644017
65721 -1 -164.648828 -66.878795 43.572922
66077 -1 -146.876572 -62.912258 48.271840
51007 -1 -115.081693 50.535971 -22.678827
52186 -1 -146.362503 53.514721 -18.925354
57548 -1 -33.755092 1.805942 0.471696
55846 -1 -180.319096 26.351317 9.594682
55848 -1 -180.070487 26.302220 9.559870
54810 -1 -180.217146 37.308628 14.426629
48477 -1 -134.552855 83.105854 -10.204959
-1 4885-1567-1 -144.196657 111.491946 -8.757917
46655 -1 -79.523059 60.616752 0.559120
46580 -1 -101.017547 77.579805 12.613523
53020 -1 -66.056989 20.557763 8.255229
53486 -1 -165.325586 47.009232 22.287053
54227 -1 -170.703339 41.195601 31.700589
61413 -1 -174.751667 -26.900100 30.626704
61901 -1 -132.600134 -24.043703 37.056797
64797 -1 -100.306595 -34.960856 32.508723
-1 1439-2125-1 -158.219258 33.162421 55.457602
56238 -1 -145.580503 18.060345 61.266049
53985 -1 -107.267373 27.421080 44.658150
57087 -1 -86.832184 6.756996 43.810122
57802 -1 -71.571995 2.775571 50.663361
90790 -1 16.905076 -122.956838 -42.516859
91430 -1 21.837749 -127.931905 -33.546920
91608 -1 29.248762 -161.935346 -39.149282
85561 -1 -22.300774 -164.421388 -73.308466
91557 -1 30.454658 -171.426829 -32.167885
96085 -1 67.863124 -159.651321 -34.584809
98204 -1 84.994520 -151.263883 -38.688561
95071 -1 35.894853 -97.847755 -14.031170
99711 -1 108.597778 -164.078975 -2.973491
98698 -1 64.921625 -109.359407 7.392475
92200 -1 29.439015 -140.146714 -9.112547
90656 -1 24.444846 -186.454476 -5.971833
89825 -1 16.512906 -190.202447 -6.462207
93101 -1 27.602031 -106.731093 11.398354
-1 460-624-1 36.704973 -183.813450 20.817806
96285 -1 57.612059 -131.442152 11.506026
94761 -1 19.358398 -55.502981 5.311671
92871 -1 26.221624 -106.238147 16.163006
-1 1043-1399-1 41.109588 -168.336519 33.615165
80824 -1 -16.023261 -38.826946 -9.440836
82809 -1 -17.905500 -61.839154 -9.422130
78353 -1 -65.730511 -113.726051 -19.053311
83405 -1 -48.987905 -192.272463 -21.095005
83599 -1 -24.781918 -101.687111 -9.339024
85042 -1 -31.865285 -194.886188 -8.237355
85295 -1 -11.512415 -76.447578 2.843577
82588 -1 -48.261842 -160.275902 -0.095251
85665 -1 -13.027377 -100.234372 9.817190
84521 -1 -28.199805 -147.403342 21.247123
74537 -1 -115.086349 -129.883839 -4.100164
74702 -1 -104.173395 -119.826254 2.205432
80644 -1 -67.731675 -159.458016 22.206762
80725 -1 -71.309363 -169.786657 61.315618
-1 458-517-1 22.201399 -161.707176 19.566285
89517 -1 12.300374 -175.472143 43.568354
92283 -1 34.657278 -161.355135 31.313901
92573 -1 32.731915 -142.204529 43.449597
92311 -1 33.750055 -155.911182 50.104978
93899 -1 23.952119 -79.318872 31.599420
93873 -1 23.766154 -78.861271 31.429894
84460 -1 -34.010177 -175.000947 34.834759
-1 1544-929-1 -24.764947 -126.909689 44.522936
82099 -1 -47.691346 -142.996399 44.582525
83762 -1 -29.748819 -126.627267 51.379271
83043 -1 -24.921246 -90.084944 45.067865
84794 -1 -16.720611 -94.584648 47.894210
26394 -1 3.000980 30.060739 -179.849014
1292 -1 30.855881 2.191799 -172.811485
25647 -1 7.715696 56.233544 -124.250446
16069 -1 45.070323 57.171591 -146.016218
-1 8871-444-1 40.583346 74.769494 -175.153557
436 -1 61.694806 1.424199 -151.482670
15771 -1 78.584311 96.414884 -148.197704
15774 -1 78.503166 96.333836 -148.050527
13218 -1 58.897710 54.045057 -106.607945
12653 -1 83.316710 71.516167 -134.626216
25544 -1 13.475505 94.834703 -168.728499
23708 -1 14.752491 61.199713 -99.019207
-1 8518-1287-1 13.594581 106.687601 -145.428437
22738 -1 17.769316 59.533652 -91.626151
19884 -1 34.115976 69.925073 -104.412681
19394 -1 41.902760 79.889517 -121.343129
25775 -1 18.149942 138.959503 -129.307895
-1 7603-428-1 21.225336 144.593921 -133.158603
25283 -1 20.897479 133.844896 -109.580753
16711 -1 53.515121 73.002662 -102.015345
18450 -1 67.683186 113.323297 -116.138498
16536 -1 46.747630 62.559186 -77.286223
15799 -1 88.067055 108.355847 -117.481199
17439 -1 71.089482 105.550710 -100.432451
22451 -1 43.694359 138.310701 -101.972401
22907 -1 44.668798 155.017779 -87.829016
-1 6471-345-1 43.174386 131.661917 -73.180699
523 -1 71.652188 1.978830 -159.813475
7751 -1 40.848744 19.005137 -67.290931
7978 -1 92.124548 44.184787 -139.301248
5812 -1 92.660911 31.261672 -134.307618
10138 -1 59.892712 38.335415 -87.255944
11964 -1 65.490531 52.269846 -80.347102
-1 8040-936-1 106.969111 49.155736 -118.723143
-1 8040-1270-1 105.867145 48.652914 -117.519121
10812 -1 101.163142 70.308186 -92.081258
-1 7009-360-1 129.462478 92.710851 -109.660172
10395 -1 94.665466 62.603460 -71.038277
10617 -1 96.163457 65.291256 -69.805578
1720 -1 133.193278 12.598503 -138.997474
1696 -1 121.638512 11.352944 -125.407300
6351 -1 117.472112 43.689949 -111.504640
3588 -1 115.020129 23.302688 -105.333463
3261 -1 161.183973 29.510791 -108.980207
6005 -1 134.082694 46.993649 -102.156925
9786 -1 68.761115 42.054006 -46.866498
4148 -1 117.139618 27.599386 -70.485233
7235 -1 161.601384 69.653789 -79.006696
7170 -1 161.394012 68.862138 -70.570221
14555 -1 113.533974 121.668186 -89.305099
15095 -1 109.535430 124.624278 -82.528586
17420 -1 73.611628 109.059651 -45.589193
8768 -1 90.051052 48.302552 -42.191498
14165 -1 126.578706 129.530477 -59.425132
14101 -1 45.267333 46.004157 -19.233649
-1 4715-1327-1 109.279115 132.315993 -20.079170
15919 -1 95.176870 118.579067 -14.284622
-1 9381-1809-1 -11.460574 22.203528 -105.723704
31292 -1 -3.218767 21.694375 -85.566964
31293 -1 -3.215814 21.711053 -85.660360
-1 9193-2365-1 -22.107832 32.127649 -98.072638
39342 -1 -35.932156 60.689461 -158.570573
38908 -1 -39.618077 70.168002 -141.286580
45908 -1 -40.261029 33.307281 -91.538589
39987 -1 -52.343088 82.199151 -129.158083
57367 -1 -19.662874 1.218167 -41.947452
55042 -1 -67.430737 13.129579 -108.010494
-1 7722-1583-1 -125.194719 45.718289 -131.024762
-1 8227-1613-1 -67.900713 4.942239 -86.647738
56998 -1 -91.307912 7.576781 -89.735734
56244 -1 -80.801052 10.007250 -70.890086
48904 -1 -92.825517 54.360465 -113.068336
47780 -1 -54.723268 36.742633 -67.731029
48331 -1 -69.443981 43.761625 -77.906374
47425 -1 -59.345243 41.646222 -63.170306
52341 -1 -136.132107 48.299195 -107.404806
52596 -1 -126.042294 42.615404 -79.341305
49091 -1 -119.877798 68.406328 -80.936522
33690 -1 -22.759055 84.954814 -160.878670
31300 -1 -11.688540 78.632366 -129.854135
31862 -1 -12.792977 73.270593 -108.667006
42808 -1 -56.912415 65.878987 -70.199059
31634 -1 -15.755854 96.238445 -116.377043
-1 8109-1577-1 -4.894235 122.796692 -145.881050
33499 -1 -14.098727 54.761054 -55.165165
34065 -1 -33.592726 117.242815 -116.167380
34069 -1 -33.889508 118.226322 -117.159511
-1 7123-2151-1 -66.853509 123.980832 -93.025882
38594 -1 -76.833275 141.250749 -76.015605
46626 -1 -132.705235 101.399534 -104.774065
41926 -1 -64.171135 81.520255 -63.570589
48659 -1 -82.190309 49.680315 -49.488424
47103 -1 -70.683683 51.340673 -34.703466
47619 -1 -132.586763 90.625941 -56.038912
-1 6032-282-1 -97.685979 84.664113 -43.567236
48336 -1 -107.959811 67.999030 -27.902904
38939 -1 -82.369244 145.469329 -80.193969
46816 -1 -143.788894 107.938246 -35.549623
44722 -1 -104.537515 98.553640 -22.256521
46488 -1 -137.977851 106.943588 -22.592291
82256 -1 -14.207619 -43.974878 -150.951638
80686 -1 -16.313041 -38.655480 -115.802573
79537 -1 -32.546188 -65.122902 -114.614440
79190 -1 -38.031046 -72.831156 -123.870211
61291 -1 -57.970728 -8.533991 -150.733492
63550 -1 -73.599113 -20.173442 -151.054467
-1 9009-33-1 -77.735057 -50.073297 -173.392505
69972 -1 -49.463155 -34.334815 -101.741630
69454 -1 -53.316633 -35.030911 -97.271686
75181 -1 -62.029775 -75.089000 -109.387440
-1 7833-1147-1 -71.205256 -72.003328 -96.631077
83990 -1 -14.511714 -65.695382 -120.019027
84051 -1 -16.473241 -75.837821 -101.192870
85647 -1 -12.771847 -97.603434 -124.362954
86057 -1 -7.070884 -65.164931 -74.555703
-1 7868-1679-1 -33.020445 -116.521584 -98.554506
81935 -1 -35.821900 -104.403918 -89.203802
78170 -1 -55.221711 -93.442957 -99.895579
76074 -1 -26.770980 -35.587458 -39.095157
77358 -1 -65.765204 -100.764635 -93.730010
83541 -1 -38.294094 -154.929506 -86.953815
80440 -1 -69.150464 -157.541315 -69.298749
62229 -1 -104.384488 -20.874186 -166.188056
67742 -1 -89.303917 -47.775003 -124.722255
69285 -1 -114.048028 -73.323990 -82.404058
59296 -1 -136.650636 -5.910832 -142.674780
66765 -1 -116.217134 -54.857220 -88.208894
67308 -1 -110.118496 -55.929426 -78.471639
67960 -1 -133.618241 -73.334072 -84.804033
63618 -1 -153.368826 -42.779436 -80.387459
65520 -1 -125.988623 -49.504800 -73.113846
65669 -1 -165.958400 -66.963730 -90.990942
72688 -1 -111.568938 -103.728108 -68.802647
78843 -1 -86.098712 -158.047302 -67.117256
79431 -1 -62.567177 -123.723716 -47.404708
76779 -1 -84.784283 -121.737926 -48.342000
67487 -1 -115.493078 -59.939656 -52.871360
67164 -1 -96.005619 -47.782909 -34.783211
73457 -1 -124.291903 -125.078909 -34.713795
74995 -1 -40.270784 -47.749712 -8.470665
71253 -1 -47.971446 -38.251986 -13.621345
70956 -1 -123.639358 -95.536826 -23.762574
117828 -1 25.054078 -0.672298 -97.856156
113229 -1 20.753367 -5.981282 -83.292226
116745 -1 33.685116 -3.001696 -108.747604
114361 -1 54.904954 -12.255476 -137.396810
110400 -1 74.754590 -34.180982 -180.578609
108569 -1 50.197179 -29.096034 -99.502088
98959 -1 35.979864 -58.954527 -165.300950
103910 -1 48.976629 -47.618743 -105.035392
106696 -1 75.636832 -54.601906 -114.568633
100490 -1 61.257951 -85.309751 -169.967197
102186 -1 48.703951 -56.866382 -98.297140
115123 -1 96.183186 -17.355127 -172.895240
110534 -1 94.375244 -42.229325 -160.570247
110443 -1 69.574956 -31.610099 -107.371780
113850 -1 122.535858 -30.922779 -149.159278
108405 -1 81.927737 -48.410543 -117.547368
108159 -1 90.740434 -55.199627 -113.874706
106440 -1 26.179531 -19.448824 -37.533670
104644 -1 85.868102 -77.430653 -110.170586
105090 -1 23.501901 -20.217549 -24.990119
111960 -1 108.060477 -38.941258 -65.449044
110996 -1 125.583782 -52.495372 -78.654556
111391 -1 135.180178 -53.244971 -68.502809
92451 -1 17.255483 -77.121928 -148.949799
93069 -1 17.272709 -67.383086 -103.105148
90945 -1 16.127294 -110.951101 -155.819461
93206 -1 24.278813 -92.008508 -106.714788
100223 -1 72.411377 -103.792976 -133.029389
99701 -1 23.973516 -36.251526 -43.712072
98130 -1 81.152643 -145.466133 -101.417370
99150 -1 66.421975 -106.550533 -77.719467
102409 -1 55.191628 -62.843015 -50.937679
100925 -1 99.548109 -132.420569 -99.031011
100923 -1 75.636787 -100.655944 -66.246624
105341 -1 114.089551 -95.539849 -53.737008
101997 -1 86.683024 -103.117328 -59.335976
102235 -1 116.336340 -135.058931 -61.106794
97944 -1 61.905797 -113.668929 -57.472565
99385 -1 76.951176 -120.419447 -53.416323
104059 -1 126.634526 -121.359969 -53.515430
104239 -1 123.482739 -115.978701 -41.996827
104432 -1 84.244277 -77.668514 -27.109358
103388 -1 110.497937 -113.651345 -29.244849
106147 -1 136.898344 -104.985691 -38.281988
103800 -1 104.313646 -102.532455 -16.201299
103393 -1 111.808840 -114.953165 -13.600830
169 -1 56.720100 0.531010 -142.398410
171 -1 108.347330 1.025550 55.404280
428 -1 78.437610 1.773650 80.641940
439 -1 34.488440 0.813840 -26.335080
746 -1 86.000140 3.445890 144.095030
910 -1 180.469580 8.877170 -50.000420
1068 -1 70.616210 4.091400 187.459710
1242 -1 47.792410 3.230600 -13.856670
1295 -1 152.994420 10.862020 55.402920
1392 -1 149.611690 11.386660 23.433330
1463 -1 160.277610 12.808690 28.938500
1599 -1 36.319140 3.188850 -77.742270
2021 -1 16.352670 1.845170 -72.752050
2552 -1 38.556360 5.502930 92.813150
2941 -1 137.994510 22.687120 -64.521470
3093 -1 101.555760 17.616320 40.083620
3206 -1 130.277010 23.452950 111.811570
3583 -1 100.274010 20.291600 -111.851570
3765 -1 72.583680 15.554950 6.860930
3821 -1 30.984620 6.742270 50.383760
3829 -1 41.469570 9.035190 4.003480
3909 -1 151.131680 33.592630 -29.097780
3937 -1 104.911150 23.524470 49.717570
4151 -1 88.103150 20.773920 164.137460
4569 -1 105.686230 27.561470 -57.724680
5336 -1 41.496990 12.741020 61.811260
5496 -1 29.960210 9.501290 -75.674680
5643 -1 33.537720 10.979750 -10.788320
5862 -1 100.236120 34.116010 -107.866360
6290 -1 101.813270 37.399020 169.132570
7513 -1 92.299330 41.479690 89.229500
7765 -1 106.668980 49.703370 32.104030
7918 -1 84.655750 40.281600 86.248620
7981 -1 63.708040 30.556610 26.092700
8070 -1 53.869640 26.180570 121.847450
8102 -1 31.540830 15.395080 -10.022600
8362 -1 39.552560 20.098120 90.372500
8709 -1 93.305830 49.637350 113.343300
8796 -1 148.726020 79.981800 95.848060
8903 -1 147.526220 80.634570 63.891570
9007 -1 96.968270 53.727090 -139.912320
9724 -1 74.476340 45.229280 -27.665180
10072 -1 161.393930 102.425920 -48.933980
10644 -1 73.692100 50.200510 60.652460
10798 -1 93.613910 64.927190 -55.431740
11048 -1 65.144480 46.571850 88.563750
11452 -1 136.613460 102.725580 13.248550
11565 -1 146.214470 111.212470 -66.786870
12114 -1 55.384620 44.882230 8.610130
12261 -1 60.107410 49.495800 -128.330730
12351 -1 68.260550 56.781550 -143.131760
12703 -1 44.215650 38.181770 -80.755420
12709 -1 134.723830 116.443080 62.811090
12777 -1 54.800910 47.721640 84.270100
12781 -1 51.097680 44.519810 32.359310
12843 -1 101.310410 88.927490 -45.294430
13375 -1 88.099320 82.239460 82.488170
13389 -1 37.709080 35.278110 -104.389690
13402 -1 73.677280 69.027710 -22.881710
14632 -1 46.347860 50.168250 80.290670
14669 -1 74.492410 80.948360 112.858330
14754 -1 25.178080 27.601820 -95.337010
14879 -1 83.297750 92.572800 -68.994080
15220 -1 49.724590 57.317810 122.227460
15330 -1 35.960560 42.018710 -106.583370
15366 -1 84.244850 98.746750 102.333900
15371 -1 36.035590 42.271990 -106.734000
